target,ada,high_needs,y201415
Alpine County Unified,123,0.64,14676
Baker Valley Unified,173,0.89,23813
Belmont-Redwood Shores Elementary,3705,0.14,6441
Belridge Elementary,39,0.9,18939
Beverly Hills Unified,4169,0.11,9421
Big Oak Flat-Groveland Unified,334,0.65,13569
Big Pine Unified,173,0.78,12925
Bolinas-Stinson Union Elementary,116,0.39,21789
Bonny Doon Union Elementary,142,0.17,10161
Bret Harte Union High,680,0.4,12573
Brisbane Elementary,462,0.29,9949
Calistoga Joint Unified,800,0.79,14554
Campbell Union High,7192,0.26,9796
Cardiff Elementary,715,0.14,9624
Carmel Unified,2414,0.17,16366
Carpinteria Unified,2165,0.68,9088
Cayucos Elementary,205,0.35,11504
Coast Unified,708,0.65,13163
Cold Spring Elementary,165,0.02,19186
College Elementary,221,0.56,16971
Del Mar Union Elementary,4272,0.12,9095
Desert Center Unified,23,0.63,53195
Eastern Sierra Unified,421,0.43,17558
Encinitas Union Elementary,5219,0.16,7874
Fort Ross Elementary,31,0.55,12007
Fremont Union High,10446,0.19,9765
General Shafter Elementary,145,0.82,13427
Geyserville Unified,185,0.7,14084
Goleta Union Elementary,3577,0.5,10057
Healdsburg Unified,1463,0.65,10728
Hillsborough City Elementary,1505,0.01,10525
Hope Elementary,1011,0.35,7855
Horicon Elementary,57,0.98,23616
Howell Mountain Elementary,92,0.51,14131
Indian Springs Elementary,14,1,34857
Kenwood,93,0.15,20042
La Honda-Pescadero Unified,329,0.66,11114
Laguna Beach Unified,2946,0.11,14663
Lakeside Joint Elementary,88,0.22,13387
Las Lomitas Elementary,1269,0.1,11489
Latrobe Elementary,127,0.06,11485
Loma Prieta Joint Union Elemen,478,0.08,7106
Lone Pine Unified,359,0.66,15682
Los Altos Elementary,4565,0.14,6851
Los Gatos Union Elementary,3229,0.06,6929
Los Gatos-Saratoga Joint Union High,3175,0.03,11846
Mammoth Unified,1145,0.61,8430
Manchester Union Elementary,52,0.78,10901
Mendocino Unified,424,0.39,15037
Menlo Park City Elementary,2726,0.11,9035
Midway Elementary,118,0.46,13780
Monte Rio Union Elementary,55,0.67,18121
Montecito Union Elementary,484,0.1,22349
Mountain View-Los Altos Union High,3756,0.23,15209
Nevada City Elementary,711,0.32,8363
Newport-Mesa Unified,21172,0.48,10290
Nicasio,50,0.26,12955
Owens Valley Unified,78,0.47,19158
Pacific Grove Unified,2086,0.24,10451
Palo Alto Unified,11518,0.17,12316
Pine Ridge Elementary,71,0.27,26206
Plumas Unified,1775,0.51,9002
Point Arena Joint Union High,146,0.77,23202
Pope Valley Union Elementary,48,0.77,22116
Portola Valley Elementary,578,0.11,16414
Rancho Santa Fe Elementary,667,0.05,12441
Reed Union Elementary,1510,0.04,8443
Ross Elementary,365,0.01,10797
Round Valley Joint Elementary,72,0.31,13222
San Dieguito Union High,12121,0.09,7426
San Luis Coastal Unified,7128,0.41,9233
San Mateo Union High,7949,0.27,13853
San Rafael City High,2200,0.47,9974
Santa Clara Unified,14833,0.55,8560
Santa Cruz City Elementary,2661,0.47,7665
Santa Ynez Valley Union High,1012,0.26,10572
Saratoga Union Elementary,2089,0.07,11047
Sausalito Elementary,155,0.89,24461
Sequoia Union High,7963,0.4,12721
Shoreline Unified,494,0.63,16765
Solana Beach Elementary,3053,0.18,11016
Sonoma Valley Unified,4048,0.62,7946
South San Francisco Unified,8966,0.48,7939
St. Helena Unified,1201,0.44,20097
Sunnyvale,6657,0.56,7743
Tahoe-Truckee Unified,3539,0.44,10627
Tamalpais Union High,3995,0.08,12511
Twain Harte-Long Barn Union Elementary,283,0.64,10864
Vallecito Union Elementary,557,0.4,10399
Vista del Mar Union Elementary,50,0.32,29292
Willow Grove Union Elementary,16,0.23,18690
Woodside Elementary,404,0.12,15019
San Carlos Elementary,670,0.09,7797
Emerson Community Charter School,520,0.58,8222
Old Adobe Union ,362,0.59,9696
Bradley Union Elementary,85,0.51,9028
Oak Grove Union Elementary,71,0.34,17046
Liberty Elementary,43,0.24,12421
Hornbrook Elementary,42,0.9,18837
Gravenstein Union Elementary,39,0.27,20034
Little Shasta Elementary,15,0.29,17720
Silver Fork Elementary,12,0.7,32485
