target,slug,county_name,county_code,district_code,school_code,charter_code,ada,high_needs,y201415,y201516,y202021,floor_targ_caveat
ABC Unified,abc-unified,Los Angeles,19,64212,0000000,,20463,0.55,7477,8230,9833,FALSE
Abernathy Collegiate Charter,abernathy-collegiate-charter,Kern,15,63826,0127258,1497,14,0.41,6876,7551,9016,FALSE
Abraxis Charter,abraxis-charter,Sonoma,49,70920,0108811,0696,49,0.91,8781,10135,12565,FALSE
Acacia Elementary Charter,acacia-elementary-charter,San Joaquin,39,68627,0128553,1518,272,0.93,8141,9271,11382,FALSE
Acacia Middle Charter,acacia-middle-charter,San Joaquin,39,68627,0128546,1519,78,0.93,7966,8974,10929,FALSE
Academia Avance Charter,academia-avance-charter,Los Angeles,19,10199,0109926,0738,467,0.89,8164,9543,11940,FALSE
Academia Moderna,academia-moderna,Los Angeles,19,64733,0120097,1101,449,0.99,7677,8969,11219,FALSE
Academic/Vocational Charter Institute,academic-vocational-charter-institute,Santa Cruz,44,69799,4430245,0265,55,0.93,8817,10217,12703,FALSE
Academies of the Antelope Valley,academies-of-the-antelope-valley,Los Angeles,19,64246,0126003,1415,231,0.48,7017,7716,9222,FALSE
Academy for Academic Excellence,academy-for-academic-excellence,San Bernardino,36,75077,3631207,0127,1330,0.22,6904,7584,9058,FALSE
Academy of Arts and Sciences Fresno,academy-of-arts-and-sciences-fresno,Fresno,10,62331,0130880,1631,185,0.50,7414,8073,9574,FALSE
Academy of Arts and Sciences Los Angeles 9-12,academy-of-arts-and-sciences-los-angeles-9-12,Los Angeles,19,75309,0130781,1651,244,0.42,8717,9138,10502,FALSE
Academy of Arts and Sciences: Del Mar Elementary (K-5),academy-of-arts-and-sciences-del-mar-elementary-k-5,San Diego,37,68213,0127068,1452,183,0.46,6717,7533,9143,FALSE
Academy of Arts and Sciences: Del Mar Middle & High (6-12),academy-of-arts-and-sciences-del-mar-middle-and-high-6-12,San Diego,37,68213,0127084,1454,238,0.36,7318,8097,9725,FALSE
Academy of Arts and Sciences: El Cajon Elementary (K-5),academy-of-arts-and-sciences-el-cajon-elementary-k-5,San Diego,37,68213,0127035,1451,499,0.20,7277,7610,8726,FALSE
Academy of Arts and Sciences: El Cajon Middle and High (6-12),academy-of-arts-and-sciences-el-cajon-middle-and-high-6-12,San Diego,37,68213,0127050,1453,539,0.34,7428,8138,9688,FALSE
Academy of Arts and Sciences: Oxnard & Ventura,academy-of-arts-and-sciences-oxnard-and-ventura,Ventura,56,72504,0127076,1456,603,0.36,7094,7755,9227,FALSE
Academy of Arts and Sciences: Sonoma,academy-of-arts-and-sciences-sonoma,Sonoma,49,73882,0127092,1457,180,0.33,6832,7673,9322,FALSE
Academy of Arts and Sciences: Thousand Oaks & Simi Valley,academy-of-arts-and-sciences-thousand-oaks-and-simi-valley,Ventura,56,72504,0127043,1455,480,0.51,7192,8106,9874,FALSE
Academy of Careers and Exploration,academy-of-careers-and-exploration,San Bernardino,36,67736,0116723,0968,239,0.53,7882,8769,10577,FALSE
Academy of Personalized Learning,academy-of-personalized-learning,Shasta,45,75267,0120170,1113,456,0.64,7469,8527,10487,FALSE
Academy of Science and Engineering,academy-of-science-and-engineering,Los Angeles,19,64733,0126185,1411,189,0.95,8885,10350,12919,FALSE
Acalanes Union High,acalanes-union-high,Contra Costa,07,61630,0000000,,5187,0.06,7563,8254,9807,FALSE
Accelerated,accelerated,Los Angeles,19,64733,6112536,0045,712,0.99,7889,9015,11097,FALSE
Accelerated Achievement Academy,accelerated-achievement-academy,Mendocino,23,65615,2330454,0439,137,0.80,7899,9089,11243,FALSE
Accelerated Elementary Charter,accelerated-elementary-charter,Los Angeles,19,64733,0100743,0539,283,0.99,7784,9046,11271,FALSE
ACE Alum Rock,ace-alum-rock,Santa Clara,43,69369,0129254,1544,66,1.00,8476,9248,10986,FALSE
ACE Charter High,ace-charter-high,Santa Clara,43,69427,0125617,1387,194,1.00,9065,10600,13266,FALSE
ACE Empower Academy,ace-empower-academy,Santa Clara,43,10439,0116814,0972,378,0.96,7617,8829,10980,FALSE
ACE Franklin McKinley,ace-franklin-mckinley,Santa Clara,43,69450,0129247,1545,143,0.99,8437,9161,10840,FALSE
Achieve Academy,achieve-academy,Alameda,01,61259,0111476,0780,718,0.98,7650,8870,11033,FALSE
Achieve Charter School of Paradise Inc.,achieve-charter-school-of-paradise-inc,Butte,04,61531,0110338,0751,211,0.43,6862,7514,8952,FALSE
Ackerman Elementary,ackerman-elementary,Placer,31,66761,0000000,,531,0.27,6638,7331,8790,FALSE
Acton-Agua Dulce Unified,acton-agua-dulce-unified,Los Angeles,19,75309,0000000,,1218,0.46,7539,8346,9984,FALSE
Adelante Charter,adelante-charter,Santa Barbara,42,76786,6118202,0326,244,0.78,7145,7991,9678,FALSE
Adelanto Elementary,adelanto-elementary,San Bernardino,36,67587,0000000,,7946,0.89,7370,8835,11242,FALSE
Alain Leroy Locke College Prep Academy,alain-leroy-locke-college-prep-academy,Los Angeles,19,64733,0118588,1050,1678,0.96,8899,10365,12935,FALSE
Alameda Community Learning Center,alameda-community-learning-center,Alameda,01,61119,0130609,0352,359,0.23,6993,7723,9263,FALSE
Alameda Unified,alameda-unified,Alameda,01,61119,0000000,,9094,0.39,7257,7989,9548,FALSE
Albany City Unified,albany-city-unified,Alameda,01,61127,0000000,,3760,0.33,6936,7720,9315,FALSE
Albert Einstein Academy Charter Middle,albert-einstein-academy-charter-middle,San Diego,37,68338,0111898,0773,461,0.55,6709,7434,8938,FALSE
Albert Einstein Academy Elementary,albert-einstein-academy-elementary,Los Angeles,19,75309,0128603,1595,925,0.11,6920,7355,8551,FALSE
"Albert Einstein Academy for Letters, Arts and Sciences",albert-einstein-academy-for-letters-arts-and-sciences,Los Angeles,19,65136,0121731,1199,429,0.06,7105,7762,9231,FALSE
"Albert Einstein Academy of Letters, Arts & Sciences - Agua Dulce Partnership",albert-einstein-academy-of-letters-arts-and-sciences-agua-dulce-partnership,Los Angeles,19,75309,0131201,1694,179,0.34,7202,7687,8970,FALSE
Alder Grove Charter,alder-grove-charter,Humboldt,12,63032,0111203,0760,355,0.66,7336,8444,10449,FALSE
Alfred B. Nobel Charter Middle,alfred-b-nobel-charter-middle,Los Angeles,19,64733,6061543,1480,2474,0.39,6564,7254,8705,FALSE
Alhambra Unified,alhambra-unified,Los Angeles,19,75713,0000000,,17357,0.73,8131,9127,11074,FALSE
Alianza Charter,alianza-charter,Santa Cruz,44,69799,6049829,0164,642,0.87,7877,8866,10790,FALSE
Alisal Union,alisal-union-,Monterey,27,65961,0000000,,8629,0.91,7649,9035,11384,FALSE
All Tribes Charter,all-tribes-charter,San Diego,37,75416,6119275,1057,37,1.00,8407,9890,12430,FALSE
All Tribes Elementary Charter,all-tribes-elementary-charter,San Diego,37,75416,0122796,1262,27,0.96,7513,8899,11238,FALSE
Allensworth Elementary,allensworth-elementary,Tulare,54,71795,0000000,,78,1.00,10078,11348,13697,FALSE
Alliance Alice M. Baxter College-Ready High,alliance-alice-m-baxter-college-ready-high,Los Angeles,19,64733,0127217,1460,88,0.89,9339,10514,12797,FALSE
Alliance Cindy and Bill Simon Technology Academy High,alliance-cindy-and-bill-simon-technology-academy-high,Los Angeles,19,64733,0121285,1161,493,0.99,8751,10321,12995,FALSE
Alliance College-Ready Academy High No. 16,alliance-college-ready-academy-high-no-16,Los Angeles,19,64733,0123141,1164,284,0.96,8724,10277,12929,FALSE
Alliance College-Ready Academy High No. 5,alliance-college-ready-academy-high-no-5,Los Angeles,19,64733,0111492,0789,649,0.98,8712,10291,12971,FALSE
Alliance College-Ready Middle Academy No. 12,alliance-college-ready-middle-academy-no-12,Los Angeles,19,64733,0128058,1533,269,1.00,8564,9198,10788,FALSE
Alliance College-Ready Middle Academy No. 4,alliance-college-ready-middle-academy-no-4,Los Angeles,19,64733,0120030,1096,459,0.99,7487,8695,10828,FALSE
Alliance College-Ready Middle Academy No. 5,alliance-college-ready-middle-academy-no-5,Los Angeles,19,64733,0120048,1097,363,0.95,7432,8654,10798,FALSE
Alliance College-Ready Middle Academy No. 7,alliance-college-ready-middle-academy-no-7,Los Angeles,19,64733,0121277,1160,426,0.97,7393,8629,10784,FALSE
