target,slug,county_name
ABC Unified,abc-unified,Riverside
Abernathy Collegiate Charter,abernathy-collegiate-charter,Del Norte
Abraxis Charter,abraxis-charter,Tulare
Acacia Elementary Charter,acacia-elementary-charter,Los Angeles
Acacia Middle Charter,acacia-middle-charter,Monterey
Academia Avance Charter,academia-avance-charter,Los Angeles
Academia Moderna,academia-moderna,Siskiyou
Academic/Vocational Charter Institute,academic-vocational-charter-institute,San Joaquin
Academies of the Antelope Valley,academies-of-the-antelope-valley,Kern
Academy for Academic Excellence,academy-for-academic-excellence,Fresno
Academy of Arts and Sciences Fresno,academy-of-arts-and-sciences-fresno,San Diego
Academy of Arts and Sciences Los Angeles 9-12,academy-of-arts-and-sciences-los-angeles-9-12,Alameda
Academy of Arts and Sciences Los Angeles K-8,academy-of-arts-and-sciences-los-angeles-k-8,San Diego
Academy of Arts and Sciences San Joaquin,academy-of-arts-and-sciences-san-joaquin,Sacramento
Academy of Arts and Sciences: Del Mar Elementary (K-5),academy-of-arts-and-sciences-del-mar-elementary-k-5,El Dorado
Academy of Arts and Sciences: Del Mar Middle & High (6-12),academy-of-arts-and-sciences-del-mar-middle-and-high-6-12,San Benito
Academy of Arts and Sciences: El Cajon Elementary (K-5),academy-of-arts-and-sciences-el-cajon-elementary-k-5,San Diego
Academy of Arts and Sciences: El Cajon Middle and High (6-12),academy-of-arts-and-sciences-el-cajon-middle-and-high-6-12,Santa Cruz
Academy of Arts and Sciences: Oxnard & Ventura,academy-of-arts-and-sciences-oxnard-and-ventura,Alameda
Academy of Arts and Sciences: Sonoma,academy-of-arts-and-sciences-sonoma,Placer
Academy of Arts and Sciences: Thousand Oaks & Simi Valley,academy-of-arts-and-sciences-thousand-oaks-and-simi-valley,Los Angeles
Academy of Careers and Exploration,academy-of-careers-and-exploration,Los Angeles
Academy of Personalized Learning,academy-of-personalized-learning,San Bernardino
Academy of Science and Engineering,academy-of-science-and-engineering,Madera
Acalanes Union High,acalanes-union-high,Orange
Accelerated,accelerated,San Joaquin
Accelerated Achievement Academy,accelerated-achievement-academy,Los Angeles
Accelerated Elementary Charter,accelerated-elementary-charter,Los Angeles
ACE Alum Rock,ace-alum-rock,Tehama
ACE Charter High,ace-charter-high,Los Angeles
ACE Empower Academy,ace-empower-academy,Los Angeles
ACE Franklin McKinley,ace-franklin-mckinley,Orange
Achieve Academy,achieve-academy,Yuba
Achieve Charter School of Paradise Inc.,achieve-charter-school-of-paradise-inc,Alameda
Ackerman Elementary,ackerman-elementary,Kings
Acton-Agua Dulce Unified,acton-agua-dulce-unified,Ventura
Adelante Charter,adelante-charter,Fresno
Adelanto Elementary,adelanto-elementary,San Mateo
Alain Leroy Locke College Prep Academy,alain-leroy-locke-college-prep-academy,Madera
Alameda Community Learning Center,alameda-community-learning-center,Los Angeles
Alameda Unified,alameda-unified,Monterey
Albany City Unified,albany-city-unified,Los Angeles
Albert Einstein Academy Charter Middle,albert-einstein-academy-charter-middle,Tuolumne
Albert Einstein Academy Elementary,albert-einstein-academy-elementary,Lassen
"Albert Einstein Academy for Letters, Arts and Sciences",albert-einstein-academy-for-letters-arts-and-sciences,Fresno
"Albert Einstein Academy of Letters, Arts & Sciences - Agua Dulce Partnership",albert-einstein-academy-of-letters-arts-and-sciences-agua-dulce-partnership,San Diego
Alder Grove Charter,alder-grove-charter,Sacramento
Alexander Valley Union Elementary,alexander-valley-union-elementary,Stanislaus
Alfred B. Nobel Charter Middle,alfred-b-nobel-charter-middle,San Joaquin
Alhambra Unified,alhambra-unified,San Diego
Alianza Charter,alianza-charter,El Dorado
Alisal Union ,alisal-union-,San Mateo
All Tribes Charter,all-tribes-charter,Los Angeles
All Tribes Elementary Charter,all-tribes-elementary-charter,Riverside
Allensworth Elementary,allensworth-elementary,Humboldt
Alliance Alice M. Baxter College-Ready High,alliance-alice-m-baxter-college-ready-high,El Dorado
Alliance Cindy and Bill Simon Technology Academy High,alliance-cindy-and-bill-simon-technology-academy-high,Tulare
Alliance College-Ready Academy High No. 16,alliance-college-ready-academy-high-no-16,Napa
Alliance College-Ready Academy High No. 5,alliance-college-ready-academy-high-no-5,Los Angeles
Alliance College-Ready Middle Academy No. 12,alliance-college-ready-middle-academy-no-12,Santa Cruz
Alliance College-Ready Middle Academy No. 4,alliance-college-ready-middle-academy-no-4,Calaveras
Alliance College-Ready Middle Academy No. 5,alliance-college-ready-middle-academy-no-5,Sonoma
Alliance College-Ready Middle Academy No. 7,alliance-college-ready-middle-academy-no-7,Kern
Alliance College-Ready Middle Academy No. 8,alliance-college-ready-middle-academy-no-8,Los Angeles
Alliance College-Ready Middle Academy No. 9,alliance-college-ready-middle-academy-no-9,Santa Barbara
Alliance Collins Family College-Ready High,alliance-collins-family-college-ready-high,San Diego
Alliance Dr. Olga Mohan High,alliance-dr-olga-mohan-high,Santa Clara
Alliance Environmental Science and Technology High,alliance-environmental-science-and-technology-high,Stanislaus
Alliance Gertz-Ressler Richard Merkin 6-12 Complex,alliance-gertz-ressler-richard-merkin-6-12-complex,San Diego
Alliance Health Services Academy High,alliance-health-services-academy-high,Los Angeles
Alliance Jack H. Skirball Middle,alliance-jack-h-skirball-middle,Solano
Alliance Judy Ivie Burton Technology Academy High,alliance-judy-ivie-burton-technology-academy-high,Los Angeles
Alliance Marc & Eva Stern Math and Science,alliance-marc-and-eva-stern-math-and-science,Santa Clara
Alliance Margaret M. Bloomfield Technology Academy High,alliance-margaret-m-bloomfield-technology-academy-high,Trinity
Alliance Media Arts and Entertainment Design High,alliance-media-arts-and-entertainment-design-high,Los Angeles
Alliance Ouchi-O' Donovan 6-12 Complex,alliance-ouchi-o-donovan-6-12-complex,Yolo
Alliance Renee and Meyer Luskin Academy High,alliance-renee-and-meyer-luskin-academy-high,Santa Clara
Alliance Susan and Eric Smidt Technology High,alliance-susan-and-eric-smidt-technology-high,Los Angeles
Alliance Tennenbaum Family Technology High,alliance-tennenbaum-family-technology-high,San Diego
Almond Acres Charter Academy,almond-acres-charter-academy,Alameda
Alpaugh Unified,alpaugh-unified,San Diego
Alpha Charter,alpha-charter,Siskiyou
Alpha: Blanca Alvarado Middle,alpha-blanca-alvarado-middle,Los Angeles
Alpha: Jose Hernandez Middle,alpha-jose-hernandez-middle,Madera
Alpine County Unified,alpine-county-unified,Sutter
Alpine Union Elementary,alpine-union-elementary,Shasta
Alta Loma Elementary,alta-loma-elementary,Stanislaus
Alta Vista Community Charter,alta-vista-community-charter,Alameda
Alta Vista Elementary,alta-vista-elementary,Santa Clara
Alta Vista Public,alta-vista-public,Los Angeles
Alta Vista South Public Charter,alta-vista-south-public-charter,San Bernardino
Alta-Dutch Flat Union Elementary,alta-dutch-flat-union-elementary,Los Angeles
Alternative Cooperative Education Charter,alternative-cooperative-education-charter,Glenn
Alum Rock Union Elementary,alum-rock-union-elementary,San Diego
